Source,Target,weight
NYcnYTtnG58,kudYOW0h31I,1
NYcnYTtnG58,ohlUJyLFGHM,1
NYcnYTtnG58,xkN9TOuMR90,1
tivivkYdvmg,eSCCbBR3aqA,1
tivivkYdvmg,sdgJGrY6D3o,1
tivivkYdvmg,6qYKXLr28zo,1
tivivkYdvmg,9R8KQweQMXs,1
tivivkYdvmg,ufhExQnUKUk,1
tivivkYdvmg,AfZP8ns1MuY,1
t71BFdB4z-E,HNoU97ModT0,2
t71BFdB4z-E,0gW9EnfWzDw,2
t71BFdB4z-E,Gtwo2ZvpNu4,1
t71BFdB4z-E,dcQEWGjDS2o,1
t71BFdB4z-E,ZJwS5Kqdhdg,1
t71BFdB4z-E,igT8XYYhkmo,1
pYrydCWuzZI,zDPSRzHWSgY,1
pYrydCWuzZI,0tLntRpDorA,1
pYrydCWuzZI,_Z4dRGiOTYo,1
Ogr86FHeU6s,qWQGkNjbWGY,1
Ogr86FHeU6s,HmqpxRTXeBc,1
Ogr86FHeU6s,arg_aHzviQw,1
awcQ9-QvZLs,KKKRG_UbqIw,1
awcQ9-QvZLs,_Z4dRGiOTYo,1
awcQ9-QvZLs,zDPSRzHWSgY,1
ZJwS5Kqdhdg,sitj0GGbnhY,1
ZJwS5Kqdhdg,HuVeSRLi2Fw,1
ZJwS5Kqdhdg,yHKweMzVm5g,1
ZJwS5Kqdhdg,anxfxIt7eX4,4
ZJwS5Kqdhdg,zDPSRzHWSgY,3
ZJwS5Kqdhdg,pYrydCWuzZI,2
ZJwS5Kqdhdg,dcQEWGjDS2o,2
ZJwS5Kqdhdg,t6OBk9YBLQU,1
ZJwS5Kqdhdg,uzVFPWWHHsE,2
ZJwS5Kqdhdg,82V4xbhZjC0,1
ZJwS5Kqdhdg,EFn38oLo_iQ,1
ZJwS5Kqdhdg,VPyNf0-PAjo,1
VI4NZW8q6nU,vhjimhX9d5U,1
VI4NZW8q6nU,eiaqhgRFtRM,1
VI4NZW8q6nU,9MrnAJsxL8c,1
KKKRG_UbqIw,Ib5kUBcOPwE,1
KKKRG_UbqIw,bw4FNU_dW1I,1
KKKRG_UbqIw,ZqCcUTs04fg,1
NQNAdgo91JE,zda8H32pyeI,1
NQNAdgo91JE,fcbj8BBsWSA,1
NQNAdgo91JE,Ie4YyBbkUrw,1
t6OBk9YBLQU,ZJwS5Kqdhdg,2
t6OBk9YBLQU,IHQr0HCIN2w,1
t6OBk9YBLQU,igT8XYYhkmo,1
t6OBk9YBLQU,HPkuEIgo2-o,1
