Source,Target,weight
vH7ASHJO6kQ,i4RJ_0XRiXk,1
mGVonT-xgcQ,anxfxIt7eX4,3
mGVonT-xgcQ,1gq88ujkE0s,2
mGVonT-xgcQ,pp9DMcI9OmE,2
mGVonT-xgcQ,W980Aj8pyBs,2
mGVonT-xgcQ,0gW9EnfWzDw,1
mGVonT-xgcQ,vH7ASHJO6kQ,2
mGVonT-xgcQ,UIDotNx7_Yw,1
mGVonT-xgcQ,HNoU97ModT0,1
mGVonT-xgcQ,HPkuEIgo2-o,1
mGVonT-xgcQ,HFhsh4V8SZA,1
mGVonT-xgcQ,i4RJ_0XRiXk,1
mGVonT-xgcQ,Zofqu2gznAc,1
dcQEWGjDS2o,t71BFdB4z-E,1
dcQEWGjDS2o,zDPSRzHWSgY,3
dcQEWGjDS2o,mGVonT-xgcQ,5
dcQEWGjDS2o,0gW9EnfWzDw,2
dcQEWGjDS2o,anxfxIt7eX4,2
dcQEWGjDS2o,ZJwS5Kqdhdg,1
dcQEWGjDS2o,AfZP8ns1MuY,2
dcQEWGjDS2o,buKpcZOYuJc,1
dcQEWGjDS2o,_Z4dRGiOTYo,1
dcQEWGjDS2o,AC_15fULavo,1
dcQEWGjDS2o,Ee62BJdGIRs,1
dcQEWGjDS2o,YAD0a6wWFrI,1
eSCCbBR3aqA,lLSPptHygPw,1
eSCCbBR3aqA,ngaRstWBJvs,1
eSCCbBR3aqA,k6hw0HSQ_G0,1
eSCCbBR3aqA,4sNVInfdut8,1
eSCCbBR3aqA,pPFT9U3xoIo,1
eSCCbBR3aqA,9hv3CcJYMmU,1
k6hw0HSQ_G0,_AJDcfeOXPA,1
k6hw0HSQ_G0,dniuimymhfk,1
k6hw0HSQ_G0,eFrvwWw0RTs,1
VZlLBZmYZJQ,Q32C1vdU6mQ,1
VZlLBZmYZJQ,CszCAqYArnQ,1
VZlLBZmYZJQ,liDQRLYu2EM,1
TqsmROB-CGM,Enz9qD4bQYo,1
TqsmROB-CGM,9R8KQweQMXs,1
TqsmROB-CGM,ufhExQnUKUk,1
9R8KQweQMXs,_Z4dRGiOTYo,1
9R8KQweQMXs,HNoU97ModT0,1
9R8KQweQMXs,HuVeSRLi2Fw,1
sitj0GGbnhY,Xc31xR7KFN4,1
sitj0GGbnhY,RzdJsRmRTyw,1
sitj0GGbnhY,awcQ9-QvZLs,1
_Z4dRGiOTYo,XhO0o8c7twY,1
_Z4dRGiOTYo,dcQEWGjDS2o,2
_Z4dRGiOTYo,ruXsFuYY6Fk,3
_Z4dRGiOTYo,anxfxIt7eX4,1
_Z4dRGiOTYo,mGVonT-xgcQ,1
_Z4dRGiOTYo,zDPSRzHWSgY,1
_Z4dRGiOTYo,k1UCgoKvAvg,1
_Z4dRGiOTYo,4sNVInfdut8,1
_Z4dRGiOTYo,6qYKXLr28zo,1
XhO0o8c7twY,0gW9EnfWzDw,1
XhO0o8c7twY,P1bU8JWU1Zw,1
XhO0o8c7twY,6ZnrNGNDdSk,1
zDPSRzHWSgY,buKpcZOYuJc,1
zDPSRzHWSgY,AC_15fULavo,3
zDPSRzHWSgY,lZ68j2J_GOM,2
zDPSRzHWSgY,iAuvIMJRJwM,2
zDPSRzHWSgY,igT8XYYhkmo,3
zDPSRzHWSgY,ruXsFuYY6Fk,3
zDPSRzHWSgY,t6OBk9YBLQU,2
zDPSRzHWSgY,sitj0GGbnhY,1
zDPSRzHWSgY,vH7ASHJO6kQ,2
zDPSRzHWSgY,YAD0a6wWFrI,1
zDPSRzHWSgY,6cAzY_yaP5Y,1
