Genre,Average In-Degree
Science & Technology,1.5876777251184835
Education,2.058
Entertainment,1.4944320712694878
Nonprofits & Activism,2.5560165975103732
People & Blogs,1.5971168437025796
Howto & Style,1.5544041450777202
News & Politics,1.729433272394881
Comedy,2.2456813819577737
Music,1.3706896551724137
Sports,1.7464008859357696
Film & Animation,1.6096256684491979
Gaming,2.3293978748524204
Travel & Events,1.6843853820598007
Autos & Vehicles,1.4643196955280684
Pets & Animals,2.3769633507853403
