Source,Target,weight
D6eIetdY30c,o3vC_Jo3uXY,1
D6eIetdY30c,Akfna79XhSE,1
D6eIetdY30c,T1KGW8iKWSs,1
JIYvUkGzMQE,BHOj5waGEho,1
JIYvUkGzMQE,D6eIetdY30c,1
JIYvUkGzMQE,cK9Q3UgIyLM,1
BHOj5waGEho,UXJHTBgc-PY,1
BHOj5waGEho,sAp06QP2Fws,1
BHOj5waGEho,zrTSbQg8MRg,1
Dpg77KkQjHE,9P8e4syjLTk,1
Dpg77KkQjHE,tKGs9qc61uQ,1
Dpg77KkQjHE,njQWPc_Kohc,1
LYpKwt4Za_4,YKGSgPSZ-4k,1
LYpKwt4Za_4,fbPmLhM9EZQ,1
LYpKwt4Za_4,gXReifFHXbY,1
cK9Q3UgIyLM,fRhAX7v_R6A,1
cK9Q3UgIyLM,6svL10xXulQ,1
cK9Q3UgIyLM,zrTSbQg8MRg,1
wjAzUKzDaSQ,LYpKwt4Za_4,1
wjAzUKzDaSQ,4keiR3LwHJQ,1
wjAzUKzDaSQ,JIYvUkGzMQE,1
gXReifFHXbY,cp2q4IZLdvQ,1
gXReifFHXbY,9n37I4lyH0c,1
gXReifFHXbY,QKn4khUuLgc,1
1KCcZ117Z5E,IgUzHat9XIs,1
1KCcZ117Z5E,Xt5DpFBtZwk,1
1KCcZ117Z5E,I8WFSga3s7k,1
gIU09F8jdwc,GzxQ-Fn1Nwc,1
gIU09F8jdwc,NHrcvEbJmMk,1
gIU09F8jdwc,hg5-QexUWsY,1
fbPmLhM9EZQ,GjTAOOrvGd0,1
fbPmLhM9EZQ,j_pC0-Jfsq0,1
fbPmLhM9EZQ,mdYZWegj9X4,1
4keiR3LwHJQ,1KCcZ117Z5E,1
4keiR3LwHJQ,gIU09F8jdwc,1
4keiR3LwHJQ,Dpg77KkQjHE,1
YKGSgPSZ-4k,bt90VCye6Vk,1
YKGSgPSZ-4k,n4_7qY0IEno,1
YKGSgPSZ-4k,mrsuhoR5NiE,1
